player_name,player_id,team,opponent,is_home,game_id,stat,line,market_line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,pmf_mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source,lineup_last_updated_utc,line_source
Mikal Bridges,61,NYK,SAS,True,21716136,pts,15.5,15.5,fanduel,162,-220,0.357,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.438,33.4249,0.05,14.7007,14.7007,15,15,0.0024,0.9976,0.995,0.9889,0.9771,0.9622,0.9391,0.9066,0.8755,0.8368,0.7944,0.7379,0.6852,0.6324,0.575,0.5094,0.4157,0.3483,0.292,0.2409,0.2014,0.4157,141,-141,0.0587,morning,2026-06-08T23:43:42Z,103e32c8#phase10c,b72238b7-5c07-4523-a885-017a54803ef7,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-08T23:42:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-08T22:52:51Z,market_offered
Mikal Bridges,61,NYK,SAS,True,21716136,pts,14.5,14.5,fanduel,120,-160,0.4248,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.438,33.4249,0.05,14.7007,14.7007,15,15,0.0024,0.9976,0.995,0.9889,0.9771,0.9622,0.9391,0.9066,0.8755,0.8368,0.7944,0.7379,0.6852,0.6324,0.575,0.5094,0.4157,0.3483,0.292,0.2409,0.2014,0.5094,-104,104,0.0846,morning,2026-06-08T23:43:42Z,103e32c8#phase10c,b72238b7-5c07-4523-a885-017a54803ef7,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-08T23:42:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-08T22:52:51Z,market_offered
Mikal Bridges,61,NYK,SAS,True,21716136,pts,13.5,13.5,fanduel,-112,-118,0.4939,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.438,33.4249,0.05,14.7007,14.7007,15,15,0.0024,0.9976,0.995,0.9889,0.9771,0.9622,0.9391,0.9066,0.8755,0.8368,0.7944,0.7379,0.6852,0.6324,0.575,0.5094,0.4157,0.3483,0.292,0.2409,0.2014,0.575,-135,135,0.081,morning,2026-06-08T23:43:42Z,103e32c8#phase10c,b72238b7-5c07-4523-a885-017a54803ef7,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-08T23:42:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-08T22:52:51Z,market_offered
Mikal Bridges,61,NYK,SAS,True,21716136,pts,12.5,12.5,fanduel,-152,114,0.5635,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.438,33.4249,0.05,14.7007,14.7007,15,15,0.0024,0.9976,0.995,0.9889,0.9771,0.9622,0.9391,0.9066,0.8755,0.8368,0.7944,0.7379,0.6852,0.6324,0.575,0.5094,0.4157,0.3483,0.292,0.2409,0.2014,0.6324,-172,172,0.069,morning,2026-06-08T23:43:42Z,103e32c8#phase10c,b72238b7-5c07-4523-a885-017a54803ef7,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-08T23:42:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-08T22:52:51Z,market_offered
Mikal Bridges,61,NYK,SAS,True,21716136,pts,11.5,11.5,fanduel,-210,154,0.6324,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.438,33.4249,0.05,14.7007,14.7007,15,15,0.0024,0.9976,0.995,0.9889,0.9771,0.9622,0.9391,0.9066,0.8755,0.8368,0.7944,0.7379,0.6852,0.6324,0.575,0.5094,0.4157,0.3483,0.292,0.2409,0.2014,0.6852,-218,218,0.0528,morning,2026-06-08T23:43:42Z,103e32c8#phase10c,b72238b7-5c07-4523-a885-017a54803ef7,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-08T23:42:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-08T22:52:51Z,market_offered
Mikal Bridges,61,NYK,SAS,True,21716136,pts,10.5,10.5,fanduel,-290,205,0.694,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.438,33.4249,0.05,14.7007,14.7007,15,15,0.0024,0.9976,0.995,0.9889,0.9771,0.9622,0.9391,0.9066,0.8755,0.8368,0.7944,0.7379,0.6852,0.6324,0.575,0.5094,0.4157,0.3483,0.292,0.2409,0.2014,0.7379,-282,282,0.0439,morning,2026-06-08T23:43:42Z,103e32c8#phase10c,b72238b7-5c07-4523-a885-017a54803ef7,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-08T23:42:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-08T22:52:51Z,market_offered
Mikal Bridges,61,NYK,SAS,True,21716136,pts,9.5,9.5,fanduel,-420,280,0.7543,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.438,33.4249,0.05,14.7007,14.7007,15,15,0.0024,0.9976,0.995,0.9889,0.9771,0.9622,0.9391,0.9066,0.8755,0.8368,0.7944,0.7379,0.6852,0.6324,0.575,0.5094,0.4157,0.3483,0.292,0.2409,0.2014,0.7944,-386,386,0.0401,morning,2026-06-08T23:43:42Z,103e32c8#phase10c,b72238b7-5c07-4523-a885-017a54803ef7,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-08T23:42:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-08T22:52:51Z,market_offered
Mikal Bridges,61,NYK,SAS,True,21716136,pts,13.5,13.5,williamhill_us,-127,-105,0.5221,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.438,33.4249,0.05,14.7007,14.7007,15,15,0.0024,0.9976,0.995,0.9889,0.9771,0.9622,0.9391,0.9066,0.8755,0.8368,0.7944,0.7379,0.6852,0.6324,0.575,0.5094,0.4157,0.3483,0.292,0.2409,0.2014,0.575,-135,135,0.0529,morning,2026-06-08T23:43:42Z,103e32c8#phase10c,b72238b7-5c07-4523-a885-017a54803ef7,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-08T23:42:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-08T22:52:51Z,market_offered
Mikal Bridges,61,NYK,SAS,True,21716136,pts,13.5,13.5,betmgm,-111,-118,0.4929,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.438,33.4249,0.05,14.7007,14.7007,15,15,0.0024,0.9976,0.995,0.9889,0.9771,0.9622,0.9391,0.9066,0.8755,0.8368,0.7944,0.7379,0.6852,0.6324,0.575,0.5094,0.4157,0.3483,0.292,0.2409,0.2014,0.575,-135,135,0.0821,morning,2026-06-08T23:43:42Z,103e32c8#phase10c,b72238b7-5c07-4523-a885-017a54803ef7,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-08T23:42:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-08T22:52:51Z,market_offered
Mikal Bridges,61,NYK,SAS,True,21716136,pts,13.5,13.5,betrivers,-107,-127,0.4802,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.438,33.4249,0.05,14.7007,14.7007,15,15,0.0024,0.9976,0.995,0.9889,0.9771,0.9622,0.9391,0.9066,0.8755,0.8368,0.7944,0.7379,0.6852,0.6324,0.575,0.5094,0.4157,0.3483,0.292,0.2409,0.2014,0.575,-135,135,0.0947,morning,2026-06-08T23:43:42Z,103e32c8#phase10c,b72238b7-5c07-4523-a885-017a54803ef7,ok,0.0,high,full,current_phase8,latest_valid_report_selected,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-08T23:42:57Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-08T22:52:51Z,market_offered
